空调ID,空调类型,额定功率(kW),温度范围(°C),热阻R,热容C,效率,EER,状态,总能耗(kWh),平均功率(kW),最大功率(kW),最小功率(kW),最低温度(°C),最高温度(°C),最终温度(°C)
AC_S_050,small,3.21,"[20.3, 25.8]",2.1640,11624908.5,0.98,3.5,success,28.28,1.178,2.413,0.000,23.78,25.80,25.80
AC_M_028,medium,4.37,"[20.6, 24.1]",1.5199,21001772.5,0.98,3.5,success,71.19,2.966,4.370,0.000,23.72,24.10,24.10
AC_S_001,small,2.59,"[21.9, 24.1]",2.3831,11722692.2,0.98,3.5,success,45.92,1.913,2.590,0.000,23.75,24.10,24.10
AC_M_014,medium,4.24,"[20.5, 25.3]",1.2226,28044635.6,0.98,3.5,success,58.23,2.426,4.240,0.000,23.71,25.30,25.30
AC_M_015,medium,4.54,"[20.2, 24.7]",1.7831,23460190.3,0.98,3.5,success,48.59,2.025,3.558,0.000,23.67,24.70,24.70
AC_L_010,large,19.38,"[20.0, 24.1]",4.7288,41838309.1,0.98,3.5,success,17.37,0.724,1.471,0.000,23.54,24.10,24.10
AC_S_029,small,2.71,"[21.5, 25.4]",2.3441,13257196.3,0.98,3.5,success,29.63,1.234,2.401,0.000,23.73,25.40,25.40
AC_M_016,medium,4.87,"[21.3, 24.6]",1.3181,31660314.4,0.98,3.5,success,68.20,2.842,4.870,0.000,23.67,24.60,24.60
AC_S_059,small,3.49,"[20.5, 25.6]",2.0316,11526243.4,0.98,3.5,success,33.01,1.376,2.670,0.000,23.80,25.60,25.60
AC_S_053,small,2.60,"[20.9, 24.5]",2.0116,14635167.4,0.98,3.5,success,49.65,2.069,2.600,0.000,23.74,24.50,24.50
AC_S_010,small,2.84,"[20.3, 25.9]",2.4897,14353935.1,0.98,3.5,success,21.68,0.903,2.056,0.000,23.70,25.90,25.90
AC_M_030,medium,3.75,"[21.3, 24.3]",1.3191,30752475.7,0.98,3.5,success,81.07,3.378,3.750,0.000,23.47,24.30,24.30
AC_S_051,small,3.09,"[21.2, 25.2]",2.3986,11715032.4,0.98,3.5,success,31.73,1.322,2.432,0.000,23.75,25.20,25.20
AC_S_014,small,2.59,"[21.5, 25.5]",2.3972,11990000.2,0.98,3.5,success,28.21,1.175,2.306,0.000,23.75,25.50,25.50
AC_S_048,small,3.36,"[21.2, 25.4]",2.1479,12667669.4,0.98,3.5,success,33.02,1.376,2.621,0.000,23.76,25.40,25.40
AC_S_044,small,2.94,"[20.5, 24.8]",2.3564,12129367.5,0.98,3.5,success,37.10,1.546,2.649,0.000,23.75,24.80,24.80
AC_S_035,small,3.10,"[20.8, 25.8]",1.9268,12948928.8,0.98,3.5,success,31.81,1.325,2.710,0.000,23.78,25.80,25.80
AC_S_013,small,2.53,"[21.9, 24.4]",2.1416,14387968.6,0.98,3.5,success,47.44,1.977,2.530,0.000,23.73,24.40,24.40
AC_L_007,large,19.29,"[21.5, 25.0]",2.8334,41116239.0,0.98,3.5,success,18.01,0.750,1.992,0.000,23.56,25.00,25.00
AC_S_021,small,2.89,"[20.8, 24.2]",1.9571,14937450.2,0.98,3.5,success,55.22,2.301,2.890,0.000,23.70,24.20,24.20
AC_S_054,small,2.82,"[21.7, 24.5]",2.0163,12474220.1,0.98,3.5,success,48.72,2.030,2.820,0.000,23.78,24.50,24.50
AC_S_033,small,3.06,"[21.4, 25.2]",2.4146,11303676.6,0.98,3.5,success,31.64,1.318,2.416,0.000,23.76,25.20,25.20
AC_S_037,small,3.04,"[21.7, 24.9]",2.1001,11189582.7,0.98,3.5,success,41.01,1.709,2.923,0.000,23.80,24.90,24.90
AC_S_047,small,2.78,"[21.2, 25.9]",1.8033,13838484.0,0.98,3.5,success,32.58,1.358,2.780,0.000,23.78,25.90,25.90
AC_L_002,large,12.37,"[21.7, 24.6]",2.8591,59560741.1,0.98,3.5,success,19.22,0.801,2.117,0.000,23.54,24.60,24.60
AC_M_011,medium,4.24,"[21.2, 25.8]",1.2565,29924221.6,0.98,3.5,success,44.41,1.850,4.155,0.000,23.69,25.80,25.80
AC_M_024,medium,4.31,"[20.5, 25.3]",1.7978,25974894.9,0.98,3.5,success,36.89,1.537,3.188,0.000,23.65,25.30,25.30
AC_L_003,large,19.46,"[20.6, 24.6]",2.8905,49446185.4,0.98,3.5,success,21.66,0.902,2.230,0.000,23.55,24.60,24.60
AC_L_008,large,19.39,"[20.4, 25.1]",2.8078,48064054.8,0.98,3.5,success,14.00,0.583,1.694,0.000,23.55,25.10,25.10
AC_M_007,medium,4.07,"[21.7, 24.8]",1.5812,34828976.3,0.98,3.5,success,50.26,2.094,3.947,0.000,23.63,24.80,24.80
AC_S_056,small,2.65,"[20.7, 25.2]",2.3619,11171220.5,0.98,3.5,success,32.48,1.353,2.470,0.000,23.77,25.20,25.20
AC_L_005,large,12.80,"[21.7, 25.8]",3.5293,49733331.9,0.98,3.5,success,0.00,0.000,0.000,0.000,23.54,25.54,25.54
AC_S_034,small,3.33,"[20.2, 25.4]",2.2230,14478715.3,0.98,3.5,success,31.05,1.294,2.532,0.000,23.72,25.40,25.40
AC_S_002,small,2.85,"[21.5, 24.2]",2.4963,13343458.8,0.98,3.5,success,41.96,1.748,2.746,0.000,23.71,24.20,24.20
AC_L_006,large,16.80,"[21.1, 25.4]",3.0983,59704997.0,0.98,3.5,success,1.02,0.042,0.970,0.000,23.54,25.40,25.40
AC_S_019,small,3.36,"[20.1, 24.8]",2.0427,14807877.1,0.98,3.5,success,42.56,1.773,3.056,0.000,23.74,24.80,24.80
AC_S_042,small,2.87,"[20.8, 25.2]",2.2896,11406394.8,0.98,3.5,success,33.55,1.398,2.548,0.000,23.77,25.20,25.20
AC_S_038,small,2.96,"[21.1, 25.1]",2.1045,11993419.5,0.98,3.5,success,37.97,1.582,2.820,0.000,23.78,25.10,25.10
AC_S_030,small,2.58,"[20.2, 24.7]",2.2266,12728935.0,0.98,3.5,success,40.74,1.697,2.580,0.000,23.75,24.70,24.70
AC_S_027,small,3.23,"[21.2, 25.0]",2.1200,11929572.3,0.98,3.5,success,39.01,1.626,2.848,0.000,23.78,25.00,25.00
AC_M_026,medium,3.96,"[20.3, 25.0]",1.6939,29995114.4,0.98,3.5,success,43.81,1.826,3.564,0.000,23.64,25.00,25.00
AC_S_055,small,3.27,"[20.6, 25.2]",2.1397,14854020.8,0.98,3.5,success,34.95,1.456,2.726,0.000,23.72,25.20,25.20
AC_S_017,small,2.99,"[21.0, 25.9]",2.4551,12367099.8,0.98,3.5,success,22.97,0.957,2.085,0.000,23.73,25.90,25.90
AC_M_002,medium,4.66,"[20.7, 25.7]",1.4984,34183919.7,0.98,3.5,success,34.97,1.457,3.553,0.000,23.64,25.70,25.70
AC_S_060,small,3.30,"[21.1, 25.5]",2.2006,14777869.9,0.98,3.5,success,30.05,1.252,2.512,0.000,23.72,25.50,25.50
AC_M_022,medium,4.29,"[21.0, 24.3]",1.2074,32001603.6,0.98,3.5,success,86.98,3.624,4.290,0.000,23.66,24.30,24.30
AC_M_001,medium,3.90,"[20.5, 25.7]",1.2726,21803725.8,0.98,3.5,success,49.32,2.055,3.900,0.000,23.76,25.70,25.70
AC_S_016,small,3.30,"[21.7, 25.0]",1.8776,12000504.2,0.98,3.5,success,44.53,1.856,3.215,0.000,23.81,25.00,25.00
AC_S_043,small,3.46,"[21.8, 25.3]",2.4762,11908872.9,0.98,3.5,success,29.40,1.225,2.315,0.000,23.74,25.30,25.30
AC_M_018,medium,3.91,"[20.6, 24.8]",1.3284,25267690.8,0.98,3.5,success,65.69,2.737,3.910,0.000,23.71,24.80,24.80
AC_L_004,large,16.29,"[21.4, 25.1]",3.6352,44384195.5,0.98,3.5,success,7.99,0.333,0.998,0.000,23.55,25.10,25.10
AC_S_015,small,3.28,"[21.0, 25.0]",2.3955,12842136.9,0.98,3.5,success,33.77,1.407,2.520,0.000,23.73,25.00,25.00
AC_S_005,small,3.10,"[21.4, 25.1]",2.1802,13986131.1,0.98,3.5,success,35.82,1.492,2.722,0.000,23.73,25.10,25.10
AC_M_010,medium,3.62,"[21.4, 25.8]",1.5091,25305371.9,0.98,3.5,success,36.80,1.533,3.460,0.000,23.69,25.80,25.80
AC_M_013,medium,4.66,"[21.1, 25.0]",1.3366,29249931.4,0.98,3.5,success,58.45,2.436,4.517,0.000,23.68,25.00,25.00
AC_M_027,medium,4.59,"[21.3, 25.9]",1.2225,22991154.4,0.98,3.5,success,46.95,1.956,4.187,0.000,23.75,25.90,25.90
AC_S_031,small,3.13,"[20.9, 25.7]",2.0707,11508735.9,0.98,3.5,success,31.06,1.294,2.571,0.000,23.80,25.70,25.70
AC_S_058,small,3.46,"[21.7, 24.6]",1.8359,13814332.9,0.98,3.5,success,51.32,2.139,3.460,0.000,23.78,24.60,24.60
AC_M_003,medium,3.98,"[20.9, 25.6]",1.3255,23010979.7,0.98,3.5,success,48.47,2.019,3.980,0.000,23.73,25.60,25.60
AC_S_018,small,3.26,"[21.5, 24.6]",1.9857,12203435.6,0.98,3.5,success,47.60,1.983,3.246,0.000,23.79,24.60,24.60
AC_S_006,small,3.49,"[20.7, 25.6]",2.2657,11720112.3,0.98,3.5,success,29.05,1.210,2.394,0.000,23.77,25.60,25.60
AC_S_009,small,3.27,"[20.8, 24.8]",2.1991,13056858.7,0.98,3.5,success,39.74,1.656,2.838,0.000,23.75,24.80,24.80
AC_M_009,medium,4.66,"[21.2, 24.1]",1.7044,31015341.9,0.98,3.5,success,61.54,2.564,4.081,0.000,23.64,24.10,24.10
AC_M_023,medium,3.59,"[21.6, 24.8]",1.6943,29704458.5,0.98,3.5,success,47.75,1.990,3.590,0.000,23.64,24.80,24.80
AC_S_020,small,2.62,"[22.0, 25.3]",1.8485,11551868.2,0.98,3.5,success,41.82,1.742,2.620,0.000,23.83,25.30,25.30
AC_S_045,small,3.47,"[21.0, 25.0]",2.2883,14159947.4,0.98,3.5,success,35.11,1.463,2.638,0.000,23.72,25.00,25.00
AC_S_049,small,3.39,"[21.7, 25.3]",2.1397,13265162.2,0.98,3.5,success,34.22,1.426,2.679,0.000,23.75,25.30,25.30
AC_L_001,large,14.44,"[20.3, 26.0]",3.2581,56231037.5,0.98,3.5,success,0.00,0.000,0.000,0.000,23.54,25.47,25.47
AC_S_025,small,2.82,"[20.6, 25.0]",1.9017,12915752.3,0.98,3.5,success,43.87,1.828,2.820,0.000,23.79,25.00,25.00
AC_M_004,medium,4.04,"[21.7, 24.9]",1.6111,31600973.2,0.98,3.5,success,48.06,2.003,3.811,0.000,23.64,24.90,24.90
AC_M_008,medium,4.37,"[20.0, 25.7]",1.3054,22868505.2,0.98,3.5,success,47.37,1.974,4.078,0.000,23.74,25.70,25.70
AC_M_025,medium,3.63,"[21.4, 25.5]",1.6019,34431352.5,0.98,3.5,success,35.41,1.475,3.450,0.000,23.63,25.50,25.50
AC_S_023,small,2.88,"[21.1, 24.7]",2.4478,13548241.7,0.98,3.5,success,36.40,1.517,2.592,0.000,23.72,24.70,24.70
AC_M_012,medium,4.29,"[22.0, 24.4]",1.3363,31040652.6,0.98,3.5,success,72.72,3.030,4.290,0.000,23.67,24.40,24.40
AC_S_026,small,2.51,"[21.9, 24.8]",2.3037,13862818.9,0.98,3.5,success,37.56,1.565,2.510,0.000,23.72,24.80,24.80
AC_S_007,small,3.41,"[20.4, 25.4]",2.3398,11481199.5,0.98,3.5,success,30.37,1.265,2.406,0.000,23.76,25.40,25.40
AC_S_036,small,2.61,"[22.0, 25.9]",1.8952,11976682.5,0.98,3.5,success,31.51,1.313,2.610,0.000,23.81,25.90,25.90
AC_M_005,medium,4.54,"[20.4, 24.2]",1.5141,22127833.6,0.98,3.5,success,69.15,2.881,4.527,0.000,23.71,24.20,24.20
AC_S_052,small,2.94,"[21.4, 24.6]",2.1236,12963344.5,0.98,3.5,success,44.10,1.838,2.940,0.000,23.76,24.60,24.60
AC_S_046,small,2.64,"[21.1, 24.5]",2.0837,13663158.2,0.98,3.5,success,47.08,1.962,2.640,0.000,23.75,24.50,24.50
AC_M_029,medium,4.44,"[21.1, 25.2]",1.6330,26838503.6,0.98,3.5,success,43.13,1.797,3.572,0.000,23.66,25.20,25.20
AC_M_021,medium,4.04,"[21.3, 25.8]",1.7647,30948745.8,0.98,3.5,success,27.10,1.129,2.959,0.000,23.63,25.80,25.80
AC_S_041,small,3.34,"[20.2, 24.8]",2.3604,13547817.6,0.98,3.5,success,36.61,1.525,2.644,0.000,23.72,24.80,24.80
AC_S_028,small,3.38,"[22.0, 25.8]",2.4444,11757245.9,0.98,3.5,success,24.42,1.017,2.136,0.000,23.75,25.80,25.80
AC_S_008,small,3.39,"[20.7, 24.6]",2.0933,13226223.2,0.98,3.5,success,44.71,1.863,3.079,0.000,23.76,24.60,24.60
AC_M_019,medium,4.32,"[20.9, 24.5]",1.7251,30606014.9,0.98,3.5,success,52.44,2.185,3.796,0.000,23.64,24.50,24.50
AC_S_024,small,2.67,"[20.7, 24.4]",2.1876,13196659.8,0.98,3.5,success,45.73,1.905,2.670,0.000,23.75,24.40,24.40
AC_S_032,small,2.78,"[20.9, 25.5]",2.3660,11160424.1,0.98,3.5,success,28.97,1.207,2.336,0.000,23.77,25.50,25.50
AC_M_006,medium,4.03,"[21.2, 25.8]",1.2209,36907678.4,0.98,3.5,success,42.91,1.788,4.030,0.000,23.66,25.80,25.80
AC_S_039,small,3.16,"[21.0, 25.8]",2.3046,13484869.3,0.98,3.5,success,25.47,1.061,2.266,0.000,23.73,25.80,25.80
AC_M_020,medium,4.78,"[20.7, 24.4]",1.3409,34290558.2,0.98,3.5,success,71.25,2.969,4.780,0.000,23.66,24.40,24.40
AC_S_022,small,2.70,"[21.1, 24.5]",2.2751,11284787.9,0.98,3.5,success,42.71,1.780,2.700,0.000,23.78,24.50,24.50
AC_S_040,small,3.31,"[21.8, 24.4]",2.3209,12292352.0,0.98,3.5,success,42.84,1.785,2.865,0.000,23.75,24.40,24.40
AC_S_003,small,3.39,"[21.8, 25.2]",2.4564,11619811.6,0.98,3.5,success,30.92,1.288,2.375,0.000,23.75,25.20,25.20
AC_S_012,small,2.73,"[20.8, 25.6]",2.0436,12173719.0,0.98,3.5,success,32.54,1.356,2.655,0.000,23.78,25.60,25.60
AC_L_009,large,14.91,"[20.8, 25.6]",4.6316,48485285.5,0.98,3.5,success,0.00,0.000,0.000,0.000,23.53,25.18,25.18
AC_M_017,medium,3.82,"[21.6, 24.2]",1.5621,21342393.4,0.98,3.5,success,67.53,2.814,3.820,0.000,23.71,24.20,24.20
AC_S_004,small,3.02,"[21.8, 24.7]",2.2002,14691278.7,0.98,3.5,success,40.60,1.692,2.883,0.000,23.72,24.70,24.70
AC_S_057,small,3.06,"[20.7, 24.9]",2.1388,14060362.3,0.98,3.5,success,39.29,1.637,2.871,0.000,23.74,24.90,24.90
AC_S_011,small,2.98,"[20.4, 25.8]",1.9652,11774871.2,0.98,3.5,success,31.57,1.315,2.657,0.000,23.81,25.80,25.80
